date,time,bot_status,portfolio_value_usd,cumulative_pl_usd,pl_this_period_usd,number_of_positions,total_trades,win_rate_pct,biggest_win_usd,worst_loss_usd,profit_factor,notes

06/15/2026,02:14 PM,On,727.26,677.26,677.26,1,331,87.9,20.0,-92.6,0.68,
06/15/2026,02:17 PM,Off,827.26,777.26,100.00,0,331,87.9,20.0,-92.6,0.68,
06/15/2026,05:33 PM,On,64.04,14.04,-763.22,0,367,83.1,20.0,-92.6,0.54,
06/15/2026,09:33 PM,On,37.75,-12.25,-26.29,0,385,83.4,44.0,-92.6,0.67,
06/15/2026,10:18 PM,On,33.01,-16.99,-4.74,0,393,83.5,44.0,-92.6,0.72,
06/16/2026,01:29 PM,On,36.72,-13.28,3.71,1,413,83.1,44.0,-92.6,0.76,
06/16/2026,05:29 PM,On,29.40,-20.60,-7.32,1,431,82.6,44.0,-92.6,0.8,
06/16/2026,11:11 PM,On,0.07,-49.93,-29.33,1,456,82.7,44.0,-92.6,0.86,
06/17/2026,03:25 PM,On,100.18,50.18,100.11,0,33,57.6,2.55,-10.36,0.48,
06/17/2026,04:03 PM,On,93.24,43.24,-6.94,0,31,64.5,2.55,-12.45,0.52,
06/17/2026,07:26 PM,On,101.77,51.77,8.53,0,32,84.4,7.5,-12.6,1.04,
